n,t,dt,action,error
313,3.715686310017206e-05,1e-12,accept,9.054946171968008e-20
314,3.7156864100172066e-05,1e-12,accept,9.047433303036427e-20
315,3.715686510017207e-05,1e-12,accept,9.047814368558017e-20
316,3.715686610017207e-05,1e-12,accept,9.042890432305517e-20
317,3.7156867100172074e-05,1e-12,accept,9.058523295976406e-20
318,3.715686810017208e-05,1e-12,accept,9.053068628157403e-20
319,3.715686910017208e-05,1e-12,accept,9.064224892869984e-20
320,3.715687010017208e-05,1e-12,accept,9.051182502985137e-20
321,3.7156871100172085e-05,1e-12,accept,9.052842457054114e-20
322,3.715687210017209e-05,1e-12,accept,9.047950069667363e-20
323,3.715687310017209e-05,1e-12,accept,9.056392460416663e-20
324,3.7156874100172094e-05,1e-12,accept,9.059659805631615e-20
325,3.7156875100172097e-05,1e-12,accept,9.058197234908133e-20
326,3.71568761001721e-05,1e-12,accept,9.060894782600765e-20
327,3.71568771001721e-05,1e-12,accept,9.047313750768799e-20
328,3.7156878100172105e-05,1e-12,accept,9.050790248365987e-20
329,3.715687910017211e-05,1e-12,accept,9.04922955170708e-20
330,3.715688010017211e-05,1e-12,accept,9.055892030809898e-20
331,3.715688110017211e-05,1e-12,accept,9.056032190019973e-20
332,3.7156882100172116e-05,1e-12,accept,9.056165669065704e-20
333,3.715688310017212e-05,1e-12,accept,9.05115685844153e-20
334,3.715688410017212e-05,1e-12,accept,9.034261646800134e-20
335,3.7156885100172124e-05,1e-12,accept,9.050535154001599e-20
336,3.715688610017213e-05,1e-12,accept,9.052653850613716e-20
337,3.715688710017213e-05,1e-12,accept,9.059075206706777e-20
338,3.715688810017213e-05,1e-12,accept,9.0599463904341e-20
339,3.7156889100172136e-05,1e-12,accept,9.053750603746209e-20
340,3.715689010017214e-05,1e-12,accept,9.04537763515229e-20
341,3.715689110017214e-05,1e-12,accept,9.057006897400263e-20
342,3.7156892100172144e-05,1e-12,accept,9.042598544067083e-20
343,3.715689310017215e-05,1e-12,accept,9.040819188636122e-20
344,3.715689410017215e-05,1e-12,accept,9.043093606961226e-20
345,3.715689510017215e-05,1e-12,accept,9.065097096873249e-20
346,3.7156896100172155e-05,1e-12,accept,9.052962685935978e-20
347,3.715689710017216e-05,1e-12,accept,9.031409702994194e-20
348,3.715689810017216e-05,1e-12,accept,9.035631345665405e-20
349,3.715689910017216e-05,1e-12,accept,9.061713071604564e-20
350,3.7156900100172166e-05,1e-12,accept,9.044573455794223e-20
351,3.715690110017217e-05,1e-12,accept,9.045117901987855e-20
352,3.715690210017217e-05,1e-12,accept,9.057026708793595e-20
353,3.7156903100172174e-05,1e-12,accept,9.038031723564621e-20
