tc,Energy,Dissipation Rate, Enstrophy
5.209,0.11746,0.0045389,3.255
5.219,0.11742,0.0045532,3.266
5.229,0.11737,0.0045673,3.277
5.239,0.11733,0.0045813,3.2878
5.249,0.11728,0.0045953,3.2986
5.259,0.11723,0.0046093,3.3093
5.269,0.11719,0.0046232,3.3199
5.279,0.11714,0.0046369,3.3304
5.289,0.11709,0.0046503,3.3409
5.299,0.11705,0.0046637,3.3513
5.309,0.117,0.0046772,3.3615
5.319,0.11695,0.0046905,3.3718
5.329,0.11691,0.0047032,3.3819
5.339,0.11686,0.0047161,3.392
5.349,0.11681,0.004729,3.402
5.359,0.11677,0.0047415,3.412
5.369,0.11672,0.0047538,3.4219
5.379,0.11667,0.0047659,3.4317
5.389,0.11662,0.0047781,3.4415
5.399,0.11658,0.0047903,3.4513
5.409,0.11653,0.0048023,3.461
5.419,0.11648,0.0048143,3.4707
5.429,0.11643,0.0048264,3.4803
5.439,0.11638,0.0048386,3.4899
5.449,0.11633,0.0048504,3.4994
5.459,0.11629,0.004862,3.509
5.469,0.11624,0.0048739,3.5185
5.479,0.11619,0.0048859,3.5279
5.489,0.11614,0.0048979,3.5374
5.499,0.11609,0.0049099,3.5468
5.509,0.11604,0.0049219,3.5563
5.519,0.11599,0.0049338,3.5657
5.529,0.11594,0.0049454,3.5751
5.539,0.11589,0.004957,3.5845
5.549,0.11584,0.0049687,3.5939
5.559,0.11579,0.0049804,3.6033
5.569,0.11574,0.0049924,3.6128
5.579,0.11569,0.0050043,3.6222
5.589,0.11564,0.0050159,3.6317
5.599,0.11559,0.0050277,3.6412
5.609,0.11554,0.0050397,3.6507
5.619,0.11549,0.0050518,3.6603
5.629,0.11544,0.0050638,3.6698
5.639,0.11539,0.0050762,3.6794
5.649,0.11534,0.0050887,3.6891
5.659,0.11529,0.0051013,3.6987
5.669,0.11524,0.005114,3.7084
5.679,0.11519,0.0051267,3.7181
5.689,0.11514,0.0051394,3.7279
5.699,0.11509,0.0051523,3.7377
5.709,0.11503,0.0051652,3.7476
5.719,0.11498,0.0051786,3.7575
5.729,0.11493,0.0051923,3.7674
5.739,0.11488,0.0052062,3.7774
5.749,0.11483,0.0052199,3.7875
5.7589,0.11477,0.0052337,3.7976
5.7689,0.11472,0.0052478,3.8077
5.7789,0.11467,0.0052622,3.818
5.7889,0.11462,0.0052765,3.8282
5.7989,0.11456,0.0052911,3.8386
5.8089,0.11451,0.0053057,3.849
5.8189,0.11446,0.0053205,3.8594
5.8289,0.1144,0.0053355,3.87
5.8389,0.11435,0.005351,3.8806
5.8489,0.1143,0.0053671,3.8912
5.8589,0.11424,0.0053835,3.902
5.8689,0.11419,0.0053998,3.9128
5.8789,0.11414,0.0054162,3.9237
5.8889,0.11408,0.0054328,3.9346
5.8989,0.11403,0.00545,3.9456
5.9089,0.11397,0.0054673,3.9567
5.9189,0.11392,0.0054848,3.9679
5.9289,0.11386,0.0055024,3.9791
5.9389,0.11381,0.0055203,3.9904
5.9489,0.11375,0.0055384,4.0018
5.9589,0.1137,0.0055569,4.0133
5.9689,0.11364,0.0055756,4.0248
5.9789,0.11358,0.0055945,4.0364
5.9889,0.11353,0.0056136,4.0481
5.9989,0.11347,0.0056328,4.0598
6.0089,0.11342,0.0056522,4.0716
6.0189,0.11336,0.005672,4.0835
6.0289,0.1133,0.0056922,4.0954
6.0389,0.11325,0.0057125,4.1074
6.0489,0.11319,0.0057327,4.1194
6.0589,0.11313,0.0057529,4.1315
6.0689,0.11307,0.0057732,4.1437
6.0789,0.11302,0.0057939,4.1559
6.0889,0.11296,0.0058147,4.1682
6.0989,0.1129,0.0058356,4.1805
6.1089,0.11284,0.0058567,4.1928
6.1189,0.11278,0.0058777,4.2053
6.1289,0.11272,0.0058988,4.2177
6.1389,0.11266,0.0059203,4.2302
6.1489,0.1126,0.005942,4.2428
6.1589,0.11255,0.0059637,4.2553
6.1689,0.11249,0.0059855,4.2679
6.1789,0.11243,0.006007,4.2806
6.1889,0.11237,0.0060286,4.2933
6.1989,0.11231,0.0060504,4.306
6.2089,0.11224,0.0060721,4.3188
6.2189,0.11218,0.0060941,4.3316
6.2289,0.11212,0.006116,4.3444
6.2389,0.11206,0.0061378,4.3572
6.2489,0.112,0.0061596,4.3701
6.2589,0.11194,0.0061814,4.383
6.2689,0.11188,0.0062033,4.396
6.2789,0.11181,0.0062253,4.409
6.2889,0.11175,0.0062474,4.4221
6.2989,0.11169,0.0062695,4.4352
6.3088,0.11163,0.0062914,4.4483
6.3188,0.11156,0.0063133,4.4615
6.3288,0.1115,0.0063354,4.4747
6.3388,0.11144,0.0063578,4.488
6.3488,0.11137,0.0063802,4.5013
6.3588,0.11131,0.0064029,4.5147
6.3688,0.11125,0.0064254,4.5281
6.3788,0.11118,0.0064481,4.5416
6.3888,0.11112,0.006471,4.5551
6.3988,0.11105,0.0064942,4.5687
6.4088,0.11099,0.0065174,4.5823
6.4188,0.11092,0.0065406,4.596
6.4288,0.11086,0.0065641,4.6097
6.4388,0.11079,0.0065875,4.6234
6.4488,0.11072,0.006611,4.6372
6.4588,0.11066,0.006635,4.651
6.4688,0.11059,0.0066592,4.6648
6.4788,0.11052,0.0066833,4.6786
6.4888,0.11046,0.0067073,4.6925
6.4988,0.11039,0.0067313,4.7063
6.5088,0.11032,0.0067553,4.7202
6.5188,0.11026,0.0067795,4.7339
6.5288,0.11019,0.0068034,4.7477
6.5388,0.11012,0.006827,4.7614
6.5488,0.11005,0.0068506,4.7751
6.5588,0.10998,0.0068744,4.7887
6.5688,0.10991,0.0068989,4.8021
6.5788,0.10984,0.0069234,4.8155
6.5888,0.10977,0.0069475,4.8287
6.5988,0.10971,0.0069714,4.8418
6.6088,0.10964,0.0069948,4.8547
6.6188,0.10957,0.0070178,4.8675
6.6288,0.1095,0.0070407,4.88
6.6388,0.10942,0.0070637,4.8924
6.6488,0.10935,0.0070867,4.9045
6.6588,0.10928,0.0071095,4.9164
6.6688,0.10921,0.0071324,4.928
6.6788,0.10914,0.007155,4.9393
