n,t,i,p,u,v
2328,9.687499999999984,3,0.00013172871407106336,2.4866820134311823e-06,1.7110987197920426e-06
2329,9.699999999999983,1,-,-,-
2330,9.699999999999983,2,-,-,-
2331,9.699999999999983,3,0.00013161683106921538,2.478048162854688e-06,1.7118447950926938e-06
2332,9.712499999999983,1,-,-,-
2333,9.712499999999983,2,-,-,-
2334,9.712499999999983,3,0.00013153206080255728,2.4652685401502824e-06,1.6967650852510575e-06
2335,9.724999999999982,1,-,-,-
2336,9.724999999999982,2,-,-,-
2337,9.724999999999982,3,0.00013146917040369254,2.4662345816260765e-06,1.6849841293401876e-06
2338,9.737499999999981,1,-,-,-
2339,9.737499999999981,2,-,-,-
2340,9.737499999999981,3,0.00013148149288496073,2.4553986568663945e-06,1.6826655468318975e-06
2341,9.74999999999998,1,-,-,-
2342,9.74999999999998,2,-,-,-
2343,9.74999999999998,3,0.00013154013585611933,2.4520847238426647e-06,1.677691559759498e-06
2344,9.76249999999998,1,-,-,-
2345,9.76249999999998,2,-,-,-
2346,9.76249999999998,3,0.00013167809992197188,2.4624014865693324e-06,1.6643008607814375e-06
2347,9.774999999999979,1,-,-,-
2348,9.774999999999979,2,-,-,-
2349,9.774999999999979,3,0.000131860171261934,2.4642672431715823e-06,1.6905508468856542e-06
2350,9.787499999999978,1,-,-,-
2351,9.787499999999978,2,-,-,-
2352,9.787499999999978,3,0.00013219739060417267,2.4445839757074596e-06,1.6711562979579754e-06
2353,9.799999999999978,1,-,-,-
2354,9.799999999999978,2,-,-,-
2355,9.799999999999978,3,0.00013261612213154192,2.441751780928862e-06,1.6859229165762547e-06
2356,9.812499999999977,1,-,-,-
2357,9.812499999999977,2,-,-,-
2358,9.812499999999977,3,0.00013309260846822103,2.4296176662601076e-06,1.6763296890019422e-06
2359,9.824999999999976,1,-,-,-
2360,9.824999999999976,2,-,-,-
2361,9.824999999999976,3,0.00013359556351181812,2.430486838407716e-06,1.683419308946255e-06
2362,9.837499999999975,1,-,-,-
2363,9.837499999999975,2,-,-,-
2364,9.837499999999975,3,0.00013411267652200406,2.4184348236924446e-06,1.6679532101547117e-06
2365,9.849999999999975,1,-,-,-
2366,9.849999999999975,2,-,-,-
2367,9.849999999999975,3,0.0001346475611509947,2.4094845675688754e-06,1.6648732238000596e-06
2368,9.862499999999974,1,-,-,-
2369,9.862499999999974,2,-,-,-
2370,9.862499999999974,3,0.00013514689502059735,2.3994518389874173e-06,1.6567197051488137e-06
2371,9.874999999999973,1,-,-,-
2372,9.874999999999973,2,-,-,-
2373,9.874999999999973,3,0.00013568319786058005,2.3787562302022336e-06,1.649929573046159e-06
2374,9.887499999999973,1,-,-,-
2375,9.887499999999973,2,-,-,-
2376,9.887499999999973,3,0.0001361432851546626,2.369289069271591e-06,1.6335448692865228e-06
2377,9.899999999999972,1,-,-,-
2378,9.899999999999972,2,-,-,-
2379,9.899999999999972,3,0.00013656080300879705,2.3550951383795072e-06,1.6260099080701558e-06
2380,9.912499999999971,1,-,-,-
2381,9.912499999999971,2,-,-,-
2382,9.912499999999971,3,0.00013689163227189135,2.3442990448315963e-06,1.6332861547517035e-06
2383,9.92499999999997,1,-,-,-
2384,9.92499999999997,2,-,-,-
2385,9.92499999999997,3,0.00013710524348670698,2.3245880777375565e-06,1.6249738832576076e-06
2386,9.93749999999997,1,-,-,-
2387,9.93749999999997,2,-,-,-
2388,9.93749999999997,3,0.00013720739807903572,2.3215025082954683e-06,1.6235043012530007e-06
2389,9.949999999999969,1,-,-,-
2390,9.949999999999969,2,-,-,-
2391,9.949999999999969,3,0.00013717683655133377,2.307111005165343e-06,1.6122836923425784e-06
2392,9.962499999999968,1,-,-,-
2393,9.962499999999968,2,-,-,-
2394,9.962499999999968,3,0.0001370312292547311,2.3014820895630233e-06,1.6177612665376513e-06
2395,9.974999999999968,1,-,-,-
2396,9.974999999999968,2,-,-,-
2397,9.974999999999968,3,0.0001367544187278092,2.2872550305853157e-06,1.6070599964304964e-06
2398,9.987499999999967,1,-,-,-
2399,9.987499999999967,2,-,-,-
2400,9.987499999999967,3,0.0001364094827519217,2.2856308226964686e-06,1.6055977564185152e-06
2401,9.999999999999966,1,-,-,-
2402,9.999999999999966,2,-,-,-
2403,9.999999999999966,3,0.00013593943118217199,2.261884832348158e-06,1.59111986417834e-06
2404,10.012499999999966,1,-,-,-
2405,10.012499999999966,2,-,-,-
2406,10.012499999999966,3,0.0001353259553946015,2.252533864503361e-06,1.5876549439159539e-06
2407,10.024999999999965,1,-,-,-
2408,10.024999999999965,2,-,-,-
2409,10.024999999999965,3,0.00013463840255909234,2.2375900656089814e-06,1.579733740514644e-06
2410,10.037499999999964,1,-,-,-
2411,10.037499999999964,2,-,-,-
2412,10.037499999999964,3,0.0001338112511739006,2.2518761733436276e-06,1.5995425603340386e-06
2413,10.049999999999963,1,-,-,-
2414,10.049999999999963,2,-,-,-
2415,10.049999999999963,3,0.00013296585115101772,2.234329003150369e-06,1.5896535977722727e-06
2416,10.062499999999963,1,-,-,-
2417,10.062499999999963,2,-,-,-
2418,10.062499999999963,3,0.00013204404771213543,2.1974895561084845e-06,1.5688830876985477e-06
2419,10.074999999999962,1,-,-,-
2420,10.074999999999962,2,-,-,-
2421,10.074999999999962,3,0.00013113229051888573,2.1581728280537748e-06,1.5436439669509962e-06
2422,10.087499999999961,1,-,-,-
2423,10.087499999999961,2,-,-,-
2424,10.087499999999961,3,0.00013022151275884135,2.1692756021929824e-06,1.5570244944887062e-06
2425,10.09999999999996,1,-,-,-
2426,10.09999999999996,2,-,-,-
2427,10.09999999999996,3,0.00012929127116655153,2.1615706635023276e-06,1.5313729190079308e-06
2428,10.11249999999996,1,-,-,-
2429,10.11249999999996,2,-,-,-
2430,10.11249999999996,3,0.00012834336278512635,2.1537181251253306e-06,1.5365102709138753e-06
2431,10.12499999999996,1,-,-,-
2432,10.12499999999996,2,-,-,-
2433,10.12499999999996,3,0.00012743131481967015,2.1348371729702212e-06,1.5064895181870405e-06
2434,10.137499999999958,1,-,-,-
2435,10.137499999999958,2,-,-,-
2436,10.137499999999958,3,0.00012654664426291174,2.144273392885385e-06,1.5434029874312372e-06
2437,10.149999999999958,1,-,-,-
2438,10.149999999999958,2,-,-,-
2439,10.149999999999958,3,0.00012572435831836867,2.133114977711393e-06,1.51948351833888e-06
2440,10.162499999999957,1,-,-,-
2441,10.162499999999957,2,-,-,-
